concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 9";"Moto";3665
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 9";"Moto";3797
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Outros";"Comercial";11590
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Outros";"Comercial";15943
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Outros";"Comercial";20100
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Outros";"Comercial";21811
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Outros";"Comercial";17934
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Outros";"Comercial";20841
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Outros";"Comercial";15874
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Outros";"Comercial";21158
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Outros";"Comercial";14448
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Outros";"Comercial";20108
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Outros";"Comercial";12099
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Outros";"Comercial";12411
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Outros";"Comercial";11699
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Outros";"Comercial";12032
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 08 BR-381/MG km 546";"N/I";"Outros";"Comercial";11473
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 08 BR-381/MG km 546";"N/I";"Outros";"Comercial";11693
"AUTOPISTA FERNÃO DIAS";"01/02/2020";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 1";"Passeio";729192
"AUTOPISTA FERNÃO DIAS";"01/02/2020";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 1";"Passeio";762300
"AUTOPISTA FERNÃO DIAS";"01/02/2020";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 1";"Passeio";314327
"AUTOPISTA FERNÃO DIAS";"01/02/2020";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 1";"Passeio";317639
"AUTOPISTA FERNÃO DIAS";"01/02/2020";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 1";"Passeio";193209
"AUTOPISTA FERNÃO DIAS";"01/02/2020";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 1";"Passeio";194542
"AUTOPISTA FERNÃO DIAS";"01/02/2020";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 1";"Passeio";130543
"AUTOPISTA FERNÃO DIAS";"01/02/2020";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 1";"Passeio";132708
"AUTOPISTA FERNÃO DIAS";"01/02/2020";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 1";"Passeio";119993
"AUTOPISTA FERNÃO DIAS";"01/02/2020";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 1";"Passeio";121419
"AUTOPISTA FERNÃO DIAS";"01/02/2020";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 1";"Passeio";103529
"AUTOPISTA FERNÃO DIAS";"01/02/2020";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 1";"Passeio";105180
"AUTOPISTA FERNÃO DIAS";"01/02/2020";"Decrescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 1";"Passeio";106270
"AUTOPISTA FERNÃO DIAS";"01/02/2020";"Crescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 1";"Passeio";107926
"AUTOPISTA FERNÃO DIAS";"01/02/2020";"Decrescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 1";"Passeio";133580
"AUTOPISTA FERNÃO DIAS";"01/02/2020";"Crescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 1";"Passeio";135813
